,Postalcode,Name,Huoneet,Keskivuokra - ARA-vuokra,Keskivuokra - Vapaarah. vanhat,Keskivuokra - Vapaarah. uudet,Kuukausivuokra - ARA-vuokra,Kuukausivuokra - Vapaarah. vanhat,Kuukausivuokra - Vapaarah. uudet,duration-w,duration-t,duration-d,duration-b
42,270,Pohjois-Meilahti,1h,21.3,27.0,30.4,635.0,652.0,696.0,50 mins,30 mins,13 mins,15 mins
43,270,Pohjois-Meilahti,2h,15.7,18.4,19.5,764.0,795.0,841.0,50 mins,30 mins,13 mins,15 mins
44,270,Pohjois-Meilahti,3h+,13.3,14.8,14.1,1127.0,1039.0,1076.0,50 mins,30 mins,13 mins,15 mins
45,280,Ruskeasuo,1h,16.9,21.2,22.5,325.0,625.0,626.0,51 mins,33 mins,12 mins,16 mins
46,280,Ruskeasuo,2h,13.6,16.2,18.7,636.0,728.0,805.0,51 mins,33 mins,12 mins,16 mins
47,280,Ruskeasuo,3h+,11.9,8.9,,730.0,575.0,,51 mins,33 mins,12 mins,16 mins
48,300,Pikku Huopalahti,1h,19.5,20.6,22.2,639.0,673.0,711.0,1 hour 1 min,32 mins,12 mins,20 mins
49,300,Pikku Huopalahti,2h,15.3,17.2,20.2,786.0,824.0,970.0,1 hour 1 min,32 mins,12 mins,20 mins
50,300,Pikku Huopalahti,3h+,13.8,14.1,9.7,1111.0,1148.0,805.0,1 hour 1 min,32 mins,12 mins,20 mins
51,310,Kivihaka,1h,23.0,21.5,24.6,661.0,660.0,732.0,49 mins,Duration not available,10 mins,18 mins
52,310,Kivihaka,2h,16.9,18.1,15.1,763.0,849.0,696.0,49 mins,Duration not available,10 mins,18 mins
53,310,Kivihaka,3h+,13.1,,,995.0,,,49 mins,Duration not available,10 mins,18 mins
54,320,Etelä-Haaga,1h,14.2,24.1,26.4,500.0,654.0,706.0,58 mins,25 mins,13 mins,19 mins
55,320,Etelä-Haaga,2h,15.6,17.2,18.6,748.0,756.0,834.0,58 mins,25 mins,13 mins,19 mins
56,320,Etelä-Haaga,3h+,13.8,15.2,,1121.0,990.0,,58 mins,25 mins,13 mins,19 mins
57,530,Kallio,1h,21.8,23.9,26.4,530.0,682.0,727.0,41 mins,19 mins,11 mins,13 mins
58,530,Kallio,2h,17.6,17.8,18.5,865.0,835.0,878.0,41 mins,19 mins,11 mins,13 mins
59,530,Kallio,3h+,16.5,14.5,14.1,1034.0,1061.0,975.0,41 mins,19 mins,11 mins,13 mins
60,330,Munkkiniemi,1h,28.3,24.4,26.6,693.0,670.0,715.0,1 hour 18 mins,46 mins,19 mins,26 mins
61,330,Munkkiniemi,2h,16.3,17.4,18.6,763.0,803.0,850.0,1 hour 18 mins,46 mins,19 mins,26 mins
62,330,Munkkiniemi,3h+,13.6,16.6,16.8,1057.0,1272.0,1195.0,1 hour 18 mins,46 mins,19 mins,26 mins
63,340,Kuusisaari-Lehtisaari,1h,,24.6,23.6,,707.0,701.0,1 hour 38 mins,57 mins,22 mins,28 mins
64,340,Kuusisaari-Lehtisaari,2h,,20.1,,,859.0,,1 hour 38 mins,57 mins,22 mins,28 mins
65,340,Kuusisaari-Lehtisaari,3h+,19.9,,,2317.0,,,1 hour 38 mins,57 mins,22 mins,28 mins
66,350,Munkkivuori-Niemenmäki,1h,21.1,24.0,25.4,500.0,654.0,669.0,1 hour 12 mins,34 mins,15 mins,23 mins
67,350,Munkkivuori-Niemenmäki,2h,13.6,17.1,18.8,648.0,813.0,834.0,1 hour 12 mins,34 mins,15 mins,23 mins
68,350,Munkkivuori-Niemenmäki,3h+,12.5,15.9,14.6,948.0,1200.0,1034.0,1 hour 12 mins,34 mins,15 mins,23 mins
69,360,Pajamäki,1h,29.7,23.1,26.4,762.0,622.0,699.0,1 hour 29 mins,Duration not available,18 mins,29 mins
70,360,Pajamäki,2h,21.3,18.5,17.4,914.0,862.0,861.0,1 hour 29 mins,Duration not available,18 mins,29 mins
71,360,Pajamäki,3h+,18.4,16.7,18.2,1296.0,1027.0,1152.0,1 hour 29 mins,Duration not available,18 mins,29 mins
72,370,Reimarla,1h,15.5,21.6,23.4,530.0,694.0,735.0,1 hour 38 mins,36 mins,19 mins,30 mins
73,370,Reimarla,2h,13.5,17.7,17.5,729.0,888.0,886.0,1 hour 38 mins,36 mins,19 mins,30 mins
74,370,Reimarla,3h+,13.5,15.0,16.8,1160.0,1160.0,1124.0,1 hour 38 mins,36 mins,19 mins,30 mins
75,380,Pitäjänmäen teollisuusalue,1h,15.6,18.6,22.0,576.0,707.0,814.0,1 hour 19 mins,35 mins,15 mins,26 mins
76,380,Pitäjänmäen teollisuusalue,2h,13.7,19.6,22.1,685.0,934.0,1030.0,1 hour 19 mins,35 mins,15 mins,26 mins
77,380,Pitäjänmäen teollisuusalue,3h+,13.1,14.6,15.9,1047.0,1220.0,1050.0,1 hour 19 mins,35 mins,15 mins,26 mins
78,540,Kalasatama,1h,18.0,26.4,22.2,522.0,699.0,644.0,39 mins,22 mins,9 mins,14 mins
79,540,Kalasatama,2h,18.0,17.0,18.9,815.0,839.0,920.0,39 mins,22 mins,9 mins,14 mins
80,540,Kalasatama,3h+,15.8,17.6,15.3,1093.0,1562.0,1240.0,39 mins,22 mins,9 mins,14 mins
